date,open,high,low,close,adjusted_close,volume
2021-02-22,1.3397,1.3925,1.3279,1.3636,1.3636,0
2021-02-23,1.3636,1.3832,1.3475,1.3492,1.3492,0
2021-02-24,1.3492,1.4286,1.3314,1.3816,1.3816,0
2021-02-25,1.3816,1.5563,1.3748,1.5251,1.5251,0
2021-02-26,1.5251,1.5523,1.4092,1.4152,1.4152,0
2021-03-01,1.4152,1.4582,1.387,1.4264,1.4264,0
2021-03-02,1.4264,1.4557,1.3914,1.4051,1.4051,0
2021-03-03,1.4051,1.498,1.4,1.4851,1.4851,0
2021-03-04,1.4851,1.5658,1.4533,1.564,1.564,0
2021-03-05,1.564,1.6142,1.5383,1.5679,1.5679,0
2021-03-08,1.5679,1.6169,1.5679,1.5985,1.5985,0
2021-03-09,1.5985,1.5985,1.5263,1.5959,1.5959,0
2021-03-10,1.5316,1.5708,1.5056,1.5178,1.5178,0
2021-03-11,1.5178,1.5536,1.479,1.5379,1.5379,0
2021-03-12,1.5379,1.6353,1.5356,1.6292,1.6292,0
2021-03-15,1.6292,1.6388,1.6012,1.61,1.61,0
2021-03-16,1.61,1.6233,1.5908,1.6171,1.6171,0
2021-03-17,1.6171,1.6842,1.6146,1.6454,1.6454,0
2021-03-18,1.6454,1.7571,1.635,1.7118,1.7118,0
2021-03-19,1.7118,1.7433,1.6742,1.7264,1.7264,0
2021-03-22,1.7264,1.7264,1.6646,1.6973,1.6973,0
2021-03-23,1.6973,1.6982,1.6268,1.6268,1.6268,0
2021-03-24,1.6268,1.6446,1.5944,1.6173,1.6173,0
2021-03-25,1.6173,1.635,1.5946,1.628,1.628,0
2021-03-26,1.6368,1.6849,1.6231,1.6849,1.6849,0
2021-03-29,1.6849,1.7206,1.6373,1.7152,1.7152,0
2021-03-30,1.7152,1.7779,1.7083,1.7225,1.7225,0
2021-03-31,1.7225,1.7476,1.7084,1.745,1.745,0
2021-04-01,1.745,1.7519,1.6749,1.6757,1.6757,0
2021-04-02,1.6757,1.7242,1.6717,1.7197,1.7197,0
2021-04-05,1.7197,1.7413,1.6976,1.7021,1.7021,0
2021-04-06,1.7021,1.7201,1.6517,1.6579,1.6579,0
2021-04-07,1.6579,1.674,1.635,1.674,1.674,0
2021-04-08,1.674,1.675,1.628,1.6289,1.6289,0
2021-04-09,1.6289,1.6879,1.6231,1.6603,1.6603,0
2021-04-12,1.6603,1.6827,1.6472,1.6685,1.6685,0
2021-04-13,1.6685,1.7016,1.619,1.6217,1.6217,0
2021-04-14,1.6217,1.6502,1.613,1.6324,1.6324,0
2021-04-15,1.6324,1.6468,1.5356,1.5769,1.5769,0
2021-04-16,1.5769,1.5941,1.5544,1.5843,1.5843,0
2021-04-19,1.5843,1.6083,1.5563,1.603,1.603,0
2021-04-20,1.603,1.6306,1.5599,1.5617,1.5617,0
2021-04-21,1.5617,1.5874,1.5574,1.5609,1.5609,0
2021-04-22,1.5609,1.5866,1.532,1.5452,1.5452,0
2021-04-23,1.5452,1.5755,1.5367,1.564,1.564,0
2021-04-26,1.564,1.6012,1.5606,1.5747,1.5747,0
2021-04-27,1.5747,1.6262,1.5669,1.62,1.62,0
2021-04-28,1.6191,1.6566,1.6112,1.6139,1.6139,0
2021-04-29,1.6139,1.6799,1.6139,1.6425,1.6425,0
